"","CVEGEO","ICE_Personal_2015.","ICE_Personal_2016A","ICE_Personal_2016B","ICE_Personal_2017A","ICE_Personal_2017B","ICE_Personal_2018A","ICE_Personal_2018B","ICE_Personal_2019A","ICE_Personal_2019B","ICE_Personal_2020A","ICE_Personal_2020B","ICE_Personal_2021A","ICE_Personal_2021B","ICE_Personal_2022A","ICE_Personal_2022B","ICE_Personal_2023B","ICE_Personal_2024A","ICE_Personal_2024B","ICE_Unidades_2015.","ICE_Unidades_2016A","ICE_Unidades_2016B","ICE_Unidades_2017A","ICE_Unidades_2017B","ICE_Unidades_2018A","ICE_Unidades_2018B","ICE_Unidades_2019A","ICE_Unidades_2019B","ICE_Unidades_2020A","ICE_Unidades_2020B","ICE_Unidades_2021A","ICE_Unidades_2021B","ICE_Unidades_2022A","ICE_Unidades_2022B","ICE_Unidades_2023B","ICE_Unidades_2024A","ICE_Unidades_2024B"
"14","21",-0.493014525530155,-0.312769102423542,-0.321402383995209,-0.515992992247262,-0.482250730701753,-0.437405240474716,-0.48236514616984,-0.424901480689419,-0.740187411142492,-0.617474568894289,-0.713291175601225,-0.710839496140741,-0.692671841315934,-0.709481454981371,-0.632671981377677,-0.678186204818144,-0.729780882178027,-0.726104589680813,-0.709781215295849,-0.977603276289213,-1.15892568202768,-1.08136374431607,-1.14409741619706,-1.14609116947578,-1.1702225978442,-1.15494718771502,-1.80851559121003,-1.77175127686604,-1.77350248243226,-1.7530032313895,-1.73141926518152,-1.77955225280944,-1.75862824439127,-1.69930379906394,-1.75230425341838,-2.01592890081177
"15","22",1.54846143252169,1.5701048236127,1.56153581477593,1.55372420792062,1.60167709893796,1.57774107418695,1.58037117503738,1.58673334067318,1.48285394917877,1.5902096520666,1.4459405567206,1.47211146779664,1.46445567501714,1.43580622975882,1.45337585069673,1.46547183050548,1.47285174808836,1.57949853932986,1.24771753835928,1.20256351323297,1.15608716576198,1.21000124305569,1.18307901294728,1.17426346544496,1.18402429823763,1.1603921705856,0.937729812594535,0.96239964069725,0.950369197235005,0.94589502025746,0.950440849349965,0.938424934441898,0.942760900940244,0.964382110429495,0.941216261043356,0.933028456284972
"16","23",-0.310740870015584,-0.220460745119931,-0.229830388159754,-0.0398561062526301,-0.172201666008814,-0.182709503620097,-0.12018453370404,-0.173168716921741,0.111553204717722,0.0956547552142343,0.379356708108773,0.429917550368579,0.42921987192628,0.435223632587514,0.294572178187651,0.239806907457333,0.254242885920048,-0.0495792023879699,0.155669495754225,0.342587267014573,0.473445377034132,0.422294381470254,0.393503403787905,0.435777029385314,0.440388711571399,0.414610282828306,0.711948526769687,0.676188480307364,0.714290969394561,0.680564583836005,0.686049924681272,0.689527996665048,0.699415653690077,0.72026388804564,0.757865855437624,0.656221067466288
"17","24",0.491517047149986,0.441091215802561,0.55379880088302,0.517102237800928,0.554356941466445,0.57836705214348,0.565264855105164,0.636871838717252,0.579624790580539,0.496438523118391,0.472086216236599,0.479431424813951,0.483986623465606,0.46532343012781,0.474669554058056,0.539818826199545,0.419775403803191,0.538928874760773,0.437914242927824,0.47636176742954,0.475687835175472,0.488455240660672,0.492047716144341,0.509013996764119,0.498295425888614,0.488349314621819,0.536971527605343,0.533946365859441,0.539136559649799,0.53588443870616,0.522630490265861,0.518497056818518,0.517978499685832,0.546779849008291,0.546613320151055,0.490595928028304
"18","25",0.0661244363357977,-0.0123006416038627,-0.157679862141217,-0.0632204600807626,-0.038014443024366,-0.0823481102809502,-0.0347237319071449,-0.0763070049438099,0.169511814693585,0.0551722277897198,0.213717975558551,0.199662987268776,0.225372566623386,0.22212112069215,0.167900013416839,0.0839286054524403,0.104496440666464,-0.0276989947346361,0.242487805583075,0.288445727677271,0.312968726309807,0.254875180776726,0.291136009751685,0.286246355832503,0.327306960084546,0.373673508713739,0.648025076754678,0.638986476358581,0.636267093477092,0.627691517900704,0.623277337459074,0.628987093887989,0.623636282118733,0.645024752554529,0.632168044016188,0.68546419044984
"19","26",0.592713487055362,0.535044614923082,0.422086541258086,0.577883860565199,0.510238013356622,0.5272789674045,0.524978660859911,0.580160186003176,0.953274760548362,0.798319944455504,0.944647295697939,0.922439915385315,0.906736558554011,0.915834429178405,0.855944152986719,0.802211787823074,0.859512226916513,0.649611852192765,0.441320516965421,0.526715319001394,0.589121111361874,0.557966341824337,0.542431872256043,0.555160821379045,0.576014441448448,0.624378776108162,0.872550903087385,0.86074756084099,0.857862604347131,0.832436650228714,0.825247289043431,0.839987488833254,0.851734551036392,0.86196066152883,0.878997958734736,0.865935266680042
"20","27",-0.745079246684498,-0.700340009893117,-0.730462705234671,-0.659232264457777,-0.644964354921784,-0.677583180670421,-0.621191267242248,-0.653100461682816,-0.739591122719728,-0.729712778652771,-0.600236186989381,-0.579319421635069,-0.589603637903372,-0.586375326982191,-0.621240524839276,-0.633974585786145,-0.62968432056519,-0.757627645505456,-0.561607948222741,-0.418347071905316,-0.291732045027949,-0.380736882655779,-0.344971486110663,-0.266370615517462,-0.352316526710996,-0.324778167877619,-0.14582387498001,-0.199146772694109,-0.176518039703615,-0.171651537004651,-0.175761489786025,-0.152880169318842,-0.173311204251375,-0.124366432806184,-0.101351191789209,-0.059097508750333
"21","28",0.972435413374252,0.883849401868491,0.836345470997435,0.868702339923267,0.836762475702972,0.83364113380653,0.8555221805379,0.925466904958628,0.962524864032466,0.841794224487105,0.810246428626605,0.790174182148012,0.779419549458108,0.817550658600792,0.829013507808228,0.954193500406905,0.940508762083345,0.936477115531394,0.521606242503841,0.510006367379237,0.596021724810166,0.581849408399745,0.540235860017199,0.583477012960849,0.571062911947017,0.588571736761642,0.854607831057792,0.785807869658368,0.786245008886337,0.770850268608199,0.763751930583549,0.774460931400238,0.784204714847492,0.800536553191691,0.819119810086121,0.912442689015553
"22","29",-0.566440868772027,-0.384579516886008,-0.372615558576228,-0.503423704195569,-0.446592017377281,-0.426603643306337,-0.473441025759431,-0.500326645149527,-0.850757857016549,-0.647515994453215,-0.820158608667628,-0.802422666116314,-0.85047820621037,-0.861856418711114,-0.826779489071494,-0.828101586421338,-0.788251931947855,-0.695552599440904,-0.413429293102015,-0.689444561699682,-0.894538107548897,-0.816395931218037,-0.810261747334895,-0.805891944772882,-0.869258673311137,-0.854768311054033,-1.070491302567,-1.0684175618753,-1.03451516760347,-1.0493963653808,-1.11265573434822,-1.06662335370459,-1.05928772603609,-1.14970877209931,-1.1810275117836,-1.30469491235276
"24","30",-1.03532163789557,-0.898579910483694,-0.876824640961012,-0.896956015506156,-0.850983984431985,-0.880383595336292,-0.897674931824461,-0.850331797796251,-1.00564594366097,-1.03066819904916,-0.908236089689452,-1.02258031550216,-0.998925094546618,-0.941760692913545,-0.957612616296155,-0.932111842656589,-0.925431790871459,-1.09085311604162,-1.24248125866239,-1.08898796523504,-1.09234152704991,-1.09932544014796,-1.08106721424578,-1.07487428152085,-1.0719088134999,-1.02063171151713,-0.869586897758636,-0.805188910185506,-0.768066249791706,-0.827806931491334,-0.843106037920529,-0.781786261145402,-0.752757371966201,-0.707971693996104,-0.677960270850391,-0.764534083123219
"25","31",-0.300476134704076,-0.253952571456951,-0.227089606371024,-0.191773418474202,-0.286483078163204,-0.263908400606771,-0.193573289545608,-0.411351632822371,-0.135143291591585,-0.0897346842191196,-0.0466232422660642,-0.0201237067253872,-0.00698049551798576,-0.00260503538502102,-0.128953894132558,-0.0766115845790403,-0.0854995198827252,-0.14213864624975,-0.233573245222238,-0.129375197824934,-0.0282331921394677,-0.103380467406671,-0.0478596212084896,-0.0658216042755108,-0.0153697966007401,-0.0135000197942206,-0.0196827090395963,0.0382379411051365,0.0712276332266098,-0.0312108831464629,-0.0622428968257685,-0.0552676422324948,-0.0672815076935381,0.0104734245943645,0.0405664289534534,-0.0078292678910699
"26","32",-0.749118703133981,-0.680147337903274,-0.672856687537242,-0.648696921723834,-0.637508860408952,-0.610204765841085,-0.645925880501503,-0.613089612395528,-0.523552742091679,-0.588861228235398,-0.687703471200686,-0.648620491260058,-0.650808951696688,-0.642774979379936,-0.623584307233271,-0.643790351053409,-0.643493016087831,-0.613496075592855,-0.460137720053186,-0.471344340911038,-0.440218554482479,-0.393849014038639,-0.402721037072873,-0.346699040308064,-0.392088562955019,-0.386819820950152,-0.212865344832591,-0.198692807876603,-0.258447682244254,-0.251929669145043,-0.259791557096226,-0.25804970057516,-0.256298245443641,-0.2994019104191,-0.285960327914638,-0.315533765438727
